99971 2
39 38 53641
45 84 74538
93 50 63888
52 90 26193
56 5 22342
12 51 14686
68 76 37518
90 10 16568
16 21 62823
72 6 60250
5 47 17985
87 63 90254
68 48 26431
85 72 28900
27 27 69430
49 92 15335
25 79 65436
15 89 75503
53 67 18962
69 15 6409
95 30 77934
99 38 38797
18 39 47343
51 31 70377
14 70 37692
39 60 78117
65 6 55384
63 55 10113
70 2 16335
11 27 25138
36 59 5328
11 12 98248
38 82 98804
31 17 87124
37 28 74282
40 19 73083
86 81 8287
99 93 88028
34 78 84021
2 9 7038
66 92 61117
18 27 24183
89 10 3886
45 46 55646
66 1 5340
30 91 61791
69 30 61772
5 87 46058
50 86 45306
57 52 70931
74 18 72989
34 52 5672
6 36 25629
86 89 26576
19 84 62734
62 28 3478
56 16 45438
30 74 49049
44 42 12708
42 70 74676
30 15 89534
67 69 23065
61 24 95410
53 85 48764
4 15 22274
94 43 34823
84 22 56634
79 76 13413
48 36 90002
83 1 70370
22 17 91638
1 59 97271
10 81 78121
96 13 87212
50 90 62774
52 1 62731
6 52 79334
35 21 90963
85 19 74254
93 91 35751
25 89 38043
19 74 35549
70 44 64772
67 45 3771
21 95 9601
25 93 31493
23 90 44481
74 39 29181
90 88 94952
57 92 62946
54 62 10481
75 77 13404
17 97 36135
76 63 76669
60 78 15767
64 13 71586
49 57 78149
31 4 64386
19 42 48022
87 75 46410
19 52 88741
5 80 61506
59 73 83998
32 8 6972
10 52 29937
41 97 28453
71 31 88005
35 71 2767
96 73 24908
72 32 50133
19 25 94257
47 95 58981
82 22 80706
15 83 46372
56 3 27317
78 42 81926
14 40 82972
94 41 69963
96 30 17812
92 98 80327
77 19 49217
82 8 8718
83 28 93226
82 35 96077
27 29 55510
9 80 73064
56 67 75571
8 24 8369
11 47 20616
54 43 90238
93 12 23378
27 20 22722
16 40 52025
80 29 60902
5 5 34112
56 9 76386
94 13 98509
60 25 77807
89 82 15220
48 8 94811
41 33 91768
23 73 15605
44 67 79723
100 50 5680
90 78 84388
81 17 73389
44 42 12826
86 8 14366
77 47 96248
72 89 16995
56 37 35384
97 39 49859
22 96 39826
75 94 78600
46 7 8476
87 18 25250
23 76 82842
6 67 77406
71 41 64297
75 36 85415
38 67 52111
42 2 8053
86 83 21054
51 19 22097
10 41 27571
69 37 72108
6 16 32990
95 91 23538
99 33 25965
92 33 16613
55 24 75418
48 10 77093
20 41 2778
25 52 71809
70 77 24328
70 12 72574
97 43 39027
6 47 63825
69 38 45579
72 26 68217
7 80 8596
11 19 46478
14 5 83577
7 84 61215
73 69 97537
95 45 5560
27 26 11842
34 100 17110
38 41 63502
99 42 56793
40 73 92763
87 52 23486
71 9 76183
81 38 7352
8 53 36934
75 76 75726
14 96 60310
48 75 73332
81 27 20435
14 21 99805
25 15 13058
17 66 78364
64 55 79608
70 20 48490
48 2 93630
39 27 25892
18 7 82023
15 70 43906
10 14 71858
56 19 57723
6 41 19148
43 37 62550
23 73 32252
56 31 70501
50 5 1794
91 40 37085
96 78 7014
46 63 69581
97 14 36563
99 54 54309
97 90 79441
91 21 4866
49 60 15663
20 84 12769
37 20 10046
53 4 41928
70 67 47372
1 22 79895
31 7 80171
41 49 16280
33 75 42114
47 89 43793
39 60 57512
22 6 37933
83 37 92777
5 54 3667
97 39 46197
79 96 65902
62 38 41930
93 46 87873
63 23 5237
81 89 74875
4 88 68688
84 80 43577
72 71 67964
58 32 2764
35 52 15979
48 90 42588
1 2 68907
31 32 36733
88 57 16494
62 49 69011
82 62 54566
59 74 98210
47 85 13068
9 42 33041
68 38 2130
72 5 87724
47 78 57793
51 46 76444
7 67 66182
54 43 10691
16 98 62104
42 7 92582
97 29 38322
49 23 80972
33 84 74498
2 94 79960
87 42 75210
37 55 23444
14 48 32185
60 56 22011
63 99 50583
79 17 76091
59 91 20087
97 55 32966
86 81 72875
87 26 54391
73 20 92924
78 32 84084
40 31 65508
50 100 98007
49 60 15495
20 41 63924
69 19 77256
26 90 84735
57 28 62354
17 70 90678
67 8 25026
12 16 11042
32 75 16978
5 66 1541
63 41 5839
31 44 36892
23 63 33812
13 57 68370
70 77 37338
2 40 55319
8 69 43109
23 48 85489
71 96 97610
43 67 79294
92 47 20924
3 84 45922
72 3 50512
68 21 90246
16 36 51096
47 64 19595
62 28 98229
70 15 43360
9 77 43458
53 67 94232
37 99 1017
98 65 73968
53 63 49664
39 13 29682
61 48 36948
35 62 76311
41 43 37269
42 10 99445
46 44 80413
16 76 17540
55 79 9123
63 70 94060
79 34 93389
85 83 90087
84 60 31521
7 71 51798
77 67 40594
30 80 91652
91 32 57438
1 86 3220
77 20 80751
3 77 21965
32 80 47971
45 23 90747
9 6 68119
52 67 15518
30 26 29333
38 81 8332
37 12 21985
85 43 33262
85 94 39033
68 30 49999
59 68 72908
17 93 42452
48 44 27247
51 1 75372
43 25 31244
69 93 82545
39 65 64189
53 61 82931
48 35 34084
41 6 16928
22 95 31608
27 63 36588
100 90 60314
83 64 91932
19 100 53863
84 89 68351
44 82 87062
83 70 41701
97 46 87459
70 21 36232
63 50 29543
24 22 9495
48 41 39652
33 25 68954
53 1 22448
22 16 18330
55 75 70023
56 73 12203
44 19 50211
100 34 94511
98 32 61358
51 76 93977
69 29 18124
99 40 85748
21 37 79025
28 24 91106
38 51 24710
41 42 3576
29 4 94585
8 43 51287
81 64 91944
18 61 94412
92 42 66924
82 96 39147
24 1 74780
31 58 14734
87 29 94003
18 29 85220
89 95 51905
63 87 79269
2 18 45505
33 59 1538
49 71 60990
91 68 14771
96 41 60408
14 38 5273
89 23 2117
91 42 42586
46 47 30720
48 98 203
13 8 92738
49 34 81759
80 14 88312
35 68 60721
77 78 32747
32 21 14492
29 47 21159
24 76 21060
95 2 4627
6 27 31758
52 35 64634
34 1 89868
41 2 2629
53 91 65364
28 35 70767
40 49 76074
8 14 7958
70 81 55392
56 86 99005
75 51 77799
76 20 28587
25 16 78606
26 51 12908
75 9 77507
62 48 75819
65 43 27217
70 29 54645
54 30 75085
43 100 51885
41 15 31058
28 21 20764
50 99 57809
12 9 53975
5 80 68187
67 51 52525
28 6 47995
49 37 37337
59 24 44692
63 98 3692
32 97 83828
79 84 34130
76 23 56853
54 75 22231
71 84 19139
15 29 30174
50 1 42562
27 80 32412
15 55 83828
25 57 74008
80 94 50643
40 97 11332
78 36 88954
25 20 27745
8 42 34126
52 56 3667
37 4 87195
59 18 28490
83 56 58846
70 81 89509
74 21 71042
2 63 41193
15 7 37557
17 14 10944
73 3 39397
50 88 9074
68 48 63403
21 6 80042
60 77 284
21 62 16369
94 99 98104
83 50 30738
96 75 95003
13 79 60871
2 9 18609
65 17 50264
61 68 52840
48 81 96650
48 53 91770
14 52 6977
89 36 48635
36 40 86366
67 87 43571
41 92 64870
68 51 6366
28 46 78114
78 31 28121
40 41 88708
72 14 25855
45 43 6228
2 36 16874
12 53 92535
68 24 26919
32 77 67153
3 92 57297
9 53 22015
64 62 60058
97 52 88137
30 10 57268
92 3 24999
46 42 55086
7 28 88867
63 84 71398
17 56 26848
12 7 40371
70 72 72022
79 97 5298
57 25 42786
53 32 88982
99 49 89108
15 4 8162
76 50 59049
72 2 3036
51 67 47412
53 16 58094
49 48 80115
66 26 81615
75 89 83039
20 64 42864
81 80 27763
93 26 59623
36 8 603
94 7 76235
23 50 64686
53 30 89361
93 76 94722
10 10 49643
61 32 37149
15 31 51807
76 11 25532
55 29 83726
22 82 32418
72 82 96505
17 54 36524
8 90 63232
55 78 74047
37 68 12115
95 12 27591
29 47 42195
34 91 92494
49 24 42103
84 88 63926
75 76 71747
71 34 29340
100 4 69699
26 64 31800
74 16 58316
97 92 46586
45 70 42205
86 18 47298
63 68 7615
35 14 54627
11 93 15893
85 12 7111
88 89 50373
90 19 83875
52 41 4506
54 48 69032
40 15 65565
22 46 65450
98 51 4802
24 8 30108
80 21 37131
31 78 42837
23 67 30455
24 79 96859
94 28 53196
74 24 14397
2 94 844
45 85 84715
11 46 37999
67 94 41535
11 5 93632
50 12 22951
15 53 10514
59 76 24453
73 84 12330
76 48 42502
33 93 95592
65 43 32915
76 54 39027
16 27 50369
70 96 9182
60 45 35190
93 78 29778
60 43 6311
92 72 85945
70 100 92985
76 52 63918
46 54 69521
34 15 63744
17 83 32122
90 3 97285
71 29 62420
72 32 68673
5 57 2135
81 69 40142
92 21 40805
43 79 56274
62 26 8303
56 87 44902
33 97 82860
7 15 28977
86 14 65768
60 1 62661
59 70 85766
79 80 93146
46 61 91390
26 67 68656
47 28 86859
5 23 46
10 59 19220
13 9 72266
7 27 79334
67 65 13790
30 76 29522
5 77 91490
76 32 96924
97 82 6606
43 3 30463
49 81 36797
31 49 38681
2 19 89649
25 98 48361
55 42 2542
20 65 88081
45 93 62112
80 3 92163
86 49 16038
91 25 14168
39 29 74797
51 73 99327
10 18 2539
15 5 6941
89 58 12968
10 97 28965
30 8 80441
42 66 71368
8 94 18392
62 15 93961
82 29 72165
64 20 74825
46 67 15879
3 64 18353
38 37 19035
50 61 83260
10 67 3990
49 13 26420
50 41 13027
72 12 29901
57 72 23305
87 23 60738
74 19 16839
90 54 18207
74 11 69979
3 71 53689
17 57 66166
36 19 4533
62 6 95929
91 84 85347
52 49 33803
28 4 51841
46 64 5144
97 96 28905
34 18 99727
70 39 31886
7 8 55049
76 1 93603
92 58 34053
49 72 89740
25 43 74155
34 39 49528
36 89 60114
56 21 58929
44 70 89588
82 88 68935
87 76 14655
93 98 19934
64 54 18484
30 27 87715
46 19 98898
27 26 65283
60 74 6041
96 77 7738
19 69 11494
37 76 94630
53 3 30629
85 89 5860
7 31 46209
96 11 20207
25 49 76544
50 75 17443
76 46 82557
44 51 55895
29 70 12469
21 10 74772
88 66 8146
65 22 82860
44 10 3738
24 96 17147
24 99 77873
61 9 60828
36 97 94601
65 10 5958
36 50 41372
43 74 8842
40 63 20163
48 50 51798
84 33 71568
43 40 24358
57 62 78970
66 48 60622
47 11 59464
74 2 61987
12 81 40032
51 9 37242
79 9 98180
70 66 65666
34 57 36306
69 49 77190
57 86 11600
64 87 99823
22 57 42082
43 9 73711
19 91 48474
1 78 99010
20 98 33095
25 15 34436
48 97 31162
30 52 20449
82 73 50938
35 36 29797
87 32 53316
96 14 98772
37 95 48170
62 81 34717
62 44 61062
50 41 60244
96 76 38178
11 25 729
64 74 74893
9 78 89281
18 100 34975
72 8 95269
94 97 34640
29 77 31711
45 42 53649
66 74 94248
54 70 39449
75 61 97102
8 68 66348
69 15 33166
98 13 45450
28 55 75068
70 64 1587
67 69 94866
91 87 99720
16 67 26598
38 88 519
59 29 49816
18 15 11357
59 94 69726
60 76 31876
12 42 14192
83 97 69484
59 35 46328
93 74 22493
13 78 49901
59 32 69432
70 47 69707
76 85 81858
77 100 49321
71 21 80434
58 1 24699
35 52 85681
58 14 65788
74 94 98340
55 97 6498
44 8 33055
12 41 17284
92 33 25930
16 79 38695
29 16 19983
27 69 79785
62 4 37257
98 27 21958
65 62 46023
49 100 33270
45 89 36780
23 21 49999
7 69 56386
77 28 87590
65 64 33240
43 37 30459
37 60 24554
100 89 39499
15 55 73655
64 1 17654
83 34 26799
58 60 38168
12 87 8046
6 51 3904
56 67 90480
24 44 67596
74 67 66368
81 19 41848
37 9 36487
42 48 12233
64 19 92789
10 97 56853
32 19 99854
69 31 62200
68 6 74862
97 45 2190
55 13 89142
19 80 82015
20 89 23291
96 63 88781
34 91 91751
89 1 65121
9 5 84485
61 28 53963
72 56 88130
36 40 38941
62 99 56934
81 60 21546
31 78 76828
84 64 40207
77 98 82369
12 17 61363
74 98 85401
27 40 2794
72 75 41681
45 65 32967
2 90 20323
2 34 50840
84 44 38873
100 48 95080
8 23 98350
9 55 69792
30 10 78445
77 93 27070
32 82 73466
100 99 42143
6 15 74620
33 35 24267
33 52 51858
12 93 64306
5 74 55322
56 40 69878
72 82 77212
35 28 26613
15 37 20546
92 47 76101
13 1 80446
89 22 79298
45 38 73721
24 20 64094
80 22 76018
74 79 4110
32 41 20970
57 55 10861
2 85 89333
92 11 87308
55 1 64200
89 26 30779
85 18 40497
75 12 29763
87 31 63582
97 59 41181
15 53 48472
83 98 70225
3 95 90799
73 32 344
11 51 65812
60 17 64182
44 51 17498
77 7 69482
57 50 89886
73 21 96574
83 39 32518
55 12 19739
13 84 96884
13 74 31482
91 17 74944
68 51 25064
19 56 51305
68 95 6647
13 47 98585
81 80 31485
75 19 52152
84 73 44846
34 55 80328
25 22 9921
88 36 96753
63 82 83994
3 69 86618
9 80 32043
50 20 47829
40 66 32645
62 12 87356
42 73 83902
68 13 78177
12 36 82230
26 53 77920
65 79 59114
64 48 90269
3 12 3456
12 89 95565
23 1 95622
81 87 44624
23 27 67013
69 93 77134
68 39 82090
95 63 50333
37 19 20307
37 85 30954
45 14 95420
2 5 93922
79 76 88993
45 46 16292
36 39 80067
53 16 74262
18 98 97679
15 98 28090
64 86 65931
81 8 7028
100 31 97464
78 10 16578
95 80 34301
9 44 26525
36 71 95638
39 33 84255
55 75 10602
32 92 30863
77 26 47707
26 87 28836
89 43 62981
77 80 80769
53 76 75593
59 1 44024
95 70 42560
8 77 62320
43 77 79472
91 88 47187
88 77 97267
72 21 48814
40 84 84855
85 79 53145
11 93 68127
6 70 7099
58 58 30
36 67 45210
11 23 58442
52 39 39796
14 37 49449
73 10 6091
21 84 40123
62 27 37006
5 39 7375
59 100 13462
14 90 46698
98 89 81010
54 31 95972
64 75 66955
24 7 98420
19 16 65825
52 27 47269
83 71 20854
86 92 75064
14 71 28311
8 51 77163
14 45 31256
15 88 90156
94 60 74170
98 8 49386
83 38 65560
59 27 74490
53 13 2685
14 82 76196
69 55 23179
73 25 97113
3 76 17274
61 86 26747
86 36 44177
88 5 69709
56 17 63855
79 61 28025
63 56 11326
33 48 31433
62 29 86692
83 10 66645
21 9 81864
82 47 69963
53 81 58803
61 73 3060
82 94 42845
23 48 8801
88 72 50409
49 76 64665
30 45 61697
3 50 39080
97 46 99988
91 47 10243
40 99 12064
14 73 92457
75 20 17929
2 30 56636
69 81 61402
73 86 17318
26 27 55109
94 56 22403
87 54 16277
38 30 34500
51 98 12084
61 97 29769
40 5 49390
18 38 60465
95 52 96423
35 18 7700
70 45 12148
81 22 97434
28 84 47171
2 17 68271
81 78 65277
47 73 17749
100 37 39726
48 51 43085
56 2 7781
61 3 76284
23 26 60858
77 98 28365
7 94 83110
68 52 75406
65 100 93096
99 62 63161
70 82 22985
32 99 62299
37 37 18499
18 94 29227
84 43 91632
52 3 63202
87 72 23816
10 7 60642
5 94 38863
16 37 30885
56 2 64146
56 34 60170
93 8 43171
74 56 92811
1 78 24733
69 87 78802
16 59 9620
57 52 30664
91 59 52827
79 36 85584
27 64 83858
2 3 30359
25 11 19749
14 67 95350
94 23 38616
73 86 61872
61 4 54337
93 86 75126
39 84 8446
11 56 68359
75 69 34251
30 33 96020
81 47 20134
88 56 41897
87 88 92260
51 21 28060
53 94 9150
34 68 23314
51 34 52195
19 79 55463
84 93 99442
58 52 74293
72 5 53228
82 28 41299
78 66 50835
1 71 79265
23 30 46981
83 57 14463
4 14 34827
2 8 48900
20 50 52944
40 78 14217
9 3 32306
92 62 65698
87 47 58364
69 92 13275
11 79 4945
10 38 43905
37 52 10486
9 63 838
47 17 31645
28 38 8522
6 42 35391
99 57 54111
17 62 48785
84 96 87734
70 15 19170
15 66 28172
12 29 70913
34 50 46193
27 71 82749
96 59 90238
89 81 85544
82 11 91546
86 74 61692
86 39 45789
95 36 17776
63 49 73237
40 51 41105
3 27 71150
59 84 71067
52 79 77656
75 71 68562
17 36 70672
75 81 29533
31 32 70804
26 84 7042
42 66 70747
82 45 5756
16 46 58681
24 75 69999
13 21 54583
37 69 71808
32 48 18291
60 76 46537
33 35 43835
96 35 77403
86 88 52488
79 3 14595
27 30 52042
46 40 7731
76 37 53954
40 61 49593
23 44 60104
65 51 78337
12 100 99893
42 56 71907
35 4 99447
76 18 32693
44 80 400
89 63 23961
68 35 11004
100 40 85228
99 68 20297
33 14 45778
60 28 34979
35 97 71153
5 97 92028
26 64 98003
9 42 69895
46 57 99922
30 98 79465
91 20 86110
35 42 27231
45 46 57120
29 65 97668
94 9 32471
8 47 95079
68 67 43499
98 99 81508
87 57 30168
41 20 30538
72 7 13267
20 22 9392
27 79 78525
42 74 17657
16 19 1864
83 64 55124
89 18 68978
63 3 69697
41 92 68952
83 41 42568
55 53 67083
4 24 63156
83 2 77469
17 86 65261
13 100 96851
8 85 22644
14 77 67911
8 71 28522
32 31 54098
19 78 33765
49 71 25388
63 8 12507
8 7 51125
74 27 43806
13 82 44014
24 33 62479
83 67 17810
88 41 41056
34 1 59564
94 7 73212
99 21 14499
34 33 43730
37 16 73023
44 65 85381
95 32 52677
96 45 16700
63 98 31479
12 88 60399
85 92 16684
86 53 77099
31 68 87643
10 38 41193
15 89 82617
96 13 2421
16 5 11814
19 78 33650
40 32 85968
12 7 33264
72 5 7248
31 42 85117
7 100 12309
8 8 61618
77 79 87250
4 39 37562
44 37 4414
8 36 32132
95 79 22744
76 62 77036
63 92 33629
22 80 81088
14 13 21006
17 80 77354
3 41 85981
95 3 83762
3 15 62638
24 77 96172
50 5 15439
59 58 24651
62 63 72520
43 94 74112
4 98 44896
80 57 21066
20 17 6391
65 60 47838
2 53 58625
47 16 16464
31 90 68977
71 3 63721
72 19 41253
50 61 50399
71 83 80245
16 74 82506
14 32 87098
98 37 67954
92 80 95257
76 11 19631
73 73 75805
44 33 50613
9 33 99262
32 55 2009
98 86 9134
82 15 39133
81 52 82718
94 47 777
63 59 64242
66 49 91576
10 75 81942
30 8 44488
11 40 18217
39 28 79559
77 56 53851
85 54 97762
40 29 55898
39 61 61277
96 77 39972
88 11 95409
53 77 82888
82 94 63360
11 22 65213
50 99 27880
24 15 34178
40 22 67492
22 57 81595
4 45 39177
80 8 92972
46 26 12485
43 19 75834
69 100 1825
74 66 3420
77 83 43519
63 7 18884
38 81 12525
80 23 10564
4 99 38162
2 9 78941
41 20 88617
67 20 12889
14 59 77638
16 98 30020
74 100 21929
9 90 55303
2 76 46425
100 76 75090
73 68 52513
21 40 99199
17 32 28280
7 35 63743
74 18 76593
24 6 22596
7 55 24898
84 3 48128
7 44 29554
74 31 44391
19 90 68889
97 57 8146
92 86 79534
7 30 58672
21 87 92992
98 28 99157
86 70 10175
63 66 76388
87 70 69399
74 15 83959
86 33 77879
16 78 9603
20 49 16313
43 46 13801
5 54 31895
55 46 22988
39 58 36117
76 28 63442
90 4 21369
90 44 4783
37 71 82904
4 81 29463
70 38 37612
7 19 69693
58 43 78345
95 46 17696
54 38 62878
